Producto;Código producto;Partida;Depósito;Stock:cant.1;Unidad ppal;Moneda del producto;Cotización;Familia;Estadopartida;Cantidadgestionar
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;PRECINTO DE CHAPA 1039 M48;TALLER FINCA TOLLOCHE;72.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;REGULADOR DE CARGA SOLAR 5AMP 12V M72;TALLER FINCA TOLLOCHE;2.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CABRESTANTE ELECTRICO 1000 KG MOTOR TRIFASICO M03;TALLER FINCA TOLLOCHE;2.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ; CAÑO POSABOLA 8 5/8 (H) 9360096 M;TALLER FINCA TOLLOCHE;19.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;EJE DE MAZA FIJA 1703239 M02;TALLER FINCA TOLLOCHE;10.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;RODAMIENTO PUNTA SINFÍN HM89446/410 M40;TALLER FINCA TOLLOCHE;146.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CAÑO FINAL V 6-5/8 9360132 M;TALLER FINCA TOLLOCHE;4.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;KIT LLAVE ON OF DE PANEL 314799 M12;TALLER FINCA TOLLOCHE;5.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TUERCA 5/16 - 24 M47;TALLER FINCA TOLLOCHE;150.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;VALVULA ESFERICA VAL. 1/4 GALV. M46;TALLER FINCA TOLLOCHE;11.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;REGULADOR 10 PSI 227210 M59 - M64;TALLER FINCA TOLLOCHE;2.374.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;"CONECTOR PARA CAÑO DE 1"" FT-34 M59";TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;"ESPIGA ROSCA (M) ESP 1"" PVC M68";TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOBINADO MOTOR ULTIMA TORRE  M02;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CAÑO PORTABOLA 8 5/8 (M) 9360098 M;TALLER FINCA TOLLOCHE;19.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;TERMINALES CON OJO  M17;TALLER FINCA TOLLOCHE;17.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CUBRE CRUCETA 1702614 M48;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CAÑO PORTABOLA 6 5/8 9360128 M;TALLER FINCA TOLLOCHE;38.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CAÑO INTERMEDIO 8 5/8 9360094  M;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;MOTOR ULTIMA TORRE 03E2056 M07 - M08;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;SINFIN SALIDA SIMPLE 1701922 M12;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOQUILLA SENINGER N° 22  M38;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;BOQUILLA UP3 N° 18  M38;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;PLAQUETA ZOCALO DE RELAY 110 V 314830 M73;TALLER FINCA TOLLOCHE;1.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;CONECTOR KA1220 M12;TALLER FINCA TOLLOCHE;5.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;RODAMIENTO PUNTA DE EJE MAZA LM104949 M40;TALLER FINCA TOLLOCHE;53.000.000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;RETEN 10843 M37;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
INSUMOS  EQUIPO RIEGO   ;INSUMOS EQUIPO RIEGO   ;LEVA 992984 M02;TALLER FINCA TOLLOCHE;0.000000;Unidades;Dolares;14.790.000;EQUIPOS DE RIEGO;;
